ID,ScriptName,Weight,Animations,Keywords
string,string,int,string,string
编号,名称,权重,动作库,识别关键词
normal,常规,4,act_conversation_normal_start;,
threat,威胁,10,act_conversation_threat_body;act_conversation_threat_point;act_conversation_threat_arm,给我滚;杀;退下;不要再;
rage,愤怒,9,act_conversation_rage;act_conversation_rage_commenting;,可恶;混账;气死;哼！;
weary,受伤疲倦,3,act_conversation_weary_start;act_conversation_weary2_start;act_conversation_weary_positive;,累;痛;伤;病;撑不住;
confident,自信,3,act_conversation_confident_start;act_conversation_confident2_start;act_conversation_hip_start;act_conversation_hip2_start;,没问题;可以;放心;交给;
polite,礼貌,3,act_conversation_demure_start;,请;拜托;谢;在此!;指教;对不起;恭喜;欢迎;您好;
arrogant,傲慢不屑,3,act_conversation_demure2_start;act_conversation_aggressive2_start;act_conversation_aggressive_unsure;,你也配;下去;必须;低贱;
aggres,挑衅,3,act_conversation_aggressive_start;act_conversation_aggressive_positive;act_conversation_aggressive_very_positive,垃圾;家伙;
negative,拒绝,7,act_conversation_talk_negative;act_conversation_normal_unsure;act_conversation_normal_negative;act_conversation_normal_very_negative;act_conversation_aggressive_negative;act_conversation_aggressive_very_negative;,不行;不能;不要;不用;
promise,承诺,4,act_conversation_talk_promise;,保证;一定;担保;发誓;答应
positive,同意,5,act_conversation_normal_positive;act_conversation_normal_very_positive;,遵命;好的;收到;我立刻;感激不尽;加油;
nervous,紧张,4,act_conversation_nervous_start;act_conversation_nervous2_start;act_conversation_nervous_unsure;act_conversation_nervous_positive,紧张;担心;怕;不好意思;
confused,困惑,5,act_conversation_talk_dunno;,不知;真是的;
closed,自闭,5,act_conversation_closed_start;,唉;
question,解释、询问,6,act_conversation_talk_explain;,吗;为什么;为何;何时;怎样;是否;一定要;必须要;怎么;？;
alert,警戒,3,act_conversation_warrior_start;act_conversation_warrior2_start,小心;
nocare,无所谓,3,act_conversation_normal_trivial;act_conversation_aggressive_trivial,随意;
surprise,惊讶,4,act_conversation_normal_start;act_conversation_talk_crossedarms;,真的吗;什麼！;咦;原來是;
happy,开心,4,act_conversation_normal_start;act_conversation_hip_start;act_conversation_hip2_start;,哈;不错;太好;成功;终于;
